IconKey,LocalAddress,FallbackIconKey,RemotePath,Hash,Version
score_default,Items/Icons/score_gold_bar,score_default,,,1
money_default,Items/Icons/score_coin,money_default,,,1
score_gem,Items/Icons/score_gem,score_default,,,1
ruby_default,Items/Icons/ruby,ruby_default,,,1
time_default,Items/Icons/clock,time_default,,,1
fever_battery,Items/Icons/fever_battery,score_default,,,1
heal_default,Items/Icons/heart,heal_default,,,1
max_life_heart,Items/Icons/max_life_heart,heal_default,,,1
red_sneaker,Items/Icons/red_sneaker,score_default,,,1
winged_shoe,Items/Icons/winged_shoe,score_default,,,1
collection_default,,score_default,,,1
artifact_golden_cup,Artifacts/Icons/golden_cup,collection_default,,,1
artifact_silver_medal,Artifacts/Icons/silver_medal,collection_default,,,1
artifact_champion_belt,Artifacts/Icons/champion_belt,collection_default,,,1
artifact_record_plaque,Artifacts/Icons/record_plaque,collection_default,,,1
artifact_blue_floppy,Artifacts/Icons/blue_floppy,collection_default,,,1
artifact_red_usb,Artifacts/Icons/red_usb,collection_default,,,1
artifact_data_cartridge,Artifacts/Icons/data_cartridge,collection_default,,,1
artifact_cipher_disk,Artifacts/Icons/cipher_disk,collection_default,,,1
artifact_pocket_watch,Artifacts/Icons/pocket_watch,collection_default,,,1
artifact_hourglass,Artifacts/Icons/hourglass,collection_default,,,1
artifact_metronome,Artifacts/Icons/metronome,collection_default,,,1
artifact_chronometer,Artifacts/Icons/chronometer,collection_default,,,1
artifact_mini_masterpiece,Artifacts/Icons/mini_masterpiece,collection_default,,,1
artifact_jade_statuette,Artifacts/Icons/jade_statuette,collection_default,,,1
artifact_ruby_crown,Artifacts/Icons/ruby_crown,collection_default,,,1
artifact_antique_compass,Artifacts/Icons/antique_compass,collection_default,,,1
