ItemId,ServerItemId,TableVersion,Enabled,DisplayName,ItemType,IconKey,MinFloor,MaxFloor,SpawnWeight,RequiredPassCount,LifetimeSeconds,PassDirection,EffectKey,EffectValue,EffectDurationSeconds,AffectsScore,AffectsProgression,ServerValidated,MaxAcquirePerRun,Rarity,CollectionItemType,CollectionId,CollectionTargetId,AcquireAmount,MaxOwnedAmount,CollectionBaseSpawnChance,CollectionSpawnChancePerFloor
score_coin_01,srv_score_coin_01,items_v1,true,Score Coin,Score,score_default,1,0,100,1,8,Any,add_score,100,0,true,false,true,0,Common,None,,,1,0,0,0
game_money_small_01,srv_game_money_small_01,items_v1,true,Game Money,Currency,money_default,1,0,70,1,8,Any,add_run_game_money,1,0,false,false,true,0,Common,None,,,1,0,0,0
game_money_medium_01,srv_game_money_medium_01,items_v1,true,Game Money Bundle,Currency,money_default,3,0,20,2,10,Any,add_run_game_money,5,0,false,false,true,0,Uncommon,None,,,1,0,0,0
game_money_large_01,srv_game_money_large_01,items_v1,true,Game Money Jackpot,Currency,money_default,6,0,5,3,12,Any,add_run_game_money,10,0,false,false,true,0,Rare,None,,,1,0,0,0
time_chip_01,srv_time_chip_01,items_v1,true,Time Chip,Time,time_default,3,0,35,1,8,Any,add_time,5,0,false,false,true,0,Common,None,,,1,0,0,0
fever_battery_01,srv_fever_battery_01,items_v1,true,Fever Battery,Fever,fever_battery,1,0,18,1,10,Any,add_fever_gauge,5,0,false,false,true,0,Uncommon,None,,,1,0,0,0
heart_pack_01,srv_heart_pack_01,items_v1,true,Heart Pack,Heal,heal_default,2,0,30,3,10,Any,heal_heart,1,0,false,false,true,0,Common,None,,,1,0,0,0
max_life_heart_01,srv_max_life_heart_01,items_v1,true,Winged Heart,Skill,max_life_heart,6,0,10,5,12,Any,add_max_life,1,0,false,false,true,0,Rare,None,,,1,0,0,0
pass_orb_01,srv_pass_orb_01,items_v1,true,Pass Orb,Score,score_gem,1,0,45,3,12,Any,add_score,250,0,true,false,true,0,Uncommon,None,,,1,0,0,0
red_sneaker_01,srv_red_sneaker_01,items_v1,true,Red Sneaker,Skill,red_sneaker,2,0,24,1,10,Any,add_move_speed_percent,20,5,false,false,true,0,Uncommon,None,,,1,0,0,0
winged_shoe_01,srv_winged_shoe_01,items_v1,true,Winged Shoe,Skill,winged_shoe,5,0,12,1,12,Any,add_move_speed_percent,50,5,false,false,true,0,Rare,None,,,1,0,0,0
artifact_golden_cup_01,srv_artifact_golden_cup_01,items_v2,true,Golden Cup,Collection,artifact_golden_cup,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_golden_cup,,1,1,0.001,0.000002
artifact_silver_medal_01,srv_artifact_silver_medal_01,items_v2,true,Silver Medal,Collection,artifact_silver_medal,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_silver_medal,,1,1,0.001,0.000002
artifact_champion_belt_01,srv_artifact_champion_belt_01,items_v2,true,Champion Belt,Collection,artifact_champion_belt,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_champion_belt,,1,1,0.001,0.000002
artifact_record_plaque_01,srv_artifact_record_plaque_01,items_v2,true,Record Plaque,Collection,artifact_record_plaque,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_record_plaque,,1,1,0.001,0.000002
artifact_blue_floppy_01,srv_artifact_blue_floppy_01,items_v2,true,Blue Floppy,Collection,artifact_blue_floppy,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_blue_floppy,,1,1,0.001,0.000002
artifact_red_usb_01,srv_artifact_red_usb_01,items_v2,true,Red USB,Collection,artifact_red_usb,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_red_usb,,1,1,0.001,0.000002
artifact_data_cartridge_01,srv_artifact_data_cartridge_01,items_v2,true,Data Cartridge,Collection,artifact_data_cartridge,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_data_cartridge,,1,1,0.001,0.000002
artifact_cipher_disk_01,srv_artifact_cipher_disk_01,items_v2,true,Cipher Disk,Collection,artifact_cipher_disk,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_cipher_disk,,1,1,0.001,0.000002
artifact_pocket_watch_01,srv_artifact_pocket_watch_01,items_v2,true,Pocket Watch,Collection,artifact_pocket_watch,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_pocket_watch,,1,1,0.001,0.000002
artifact_hourglass_01,srv_artifact_hourglass_01,items_v2,true,Hourglass,Collection,artifact_hourglass,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_hourglass,,1,1,0.001,0.000002
artifact_metronome_01,srv_artifact_metronome_01,items_v2,true,Metronome,Collection,artifact_metronome,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_metronome,,1,1,0.001,0.000002
artifact_chronometer_01,srv_artifact_chronometer_01,items_v2,true,Chronometer,Collection,artifact_chronometer,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_chronometer,,1,1,0.001,0.000002
artifact_mini_masterpiece_01,srv_artifact_mini_masterpiece_01,items_v2,true,Mini Masterpiece,Collection,artifact_mini_masterpiece,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_mini_masterpiece,,1,1,0.001,0.000002
artifact_jade_statuette_01,srv_artifact_jade_statuette_01,items_v2,true,Jade Statuette,Collection,artifact_jade_statuette,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_jade_statuette,,1,1,0.001,0.000002
artifact_ruby_crown_01,srv_artifact_ruby_crown_01,items_v2,true,Ruby Crown,Collection,artifact_ruby_crown,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_ruby_crown,,1,1,0.001,0.000002
artifact_antique_compass_01,srv_artifact_antique_compass_01,items_v2,true,Antique Compass,Collection,artifact_antique_compass,1,0,0,10,15,Any,add_collection,1,0,false,true,true,1,Rare,Artifact,artifact_antique_compass,,1,1,0.001,0.000002
